name,reading,party,chamber,district
逢沢一郎,あいさわいちろう,自由民主党・無所属の会,衆,岡山1
青山繁晴,あおやましげはる,自由民主党・無所属の会,衆,兵庫8
青山周平,あおやましゅうへい,自由民主党・無所属の会,衆,愛知12
赤澤亮正,あかざわりょうせい,自由民主党・無所属の会,衆,鳥取2
あかま二郎,あかまじろう,自由民主党・無所属の会,衆,神奈川14
秋葉賢也,あきばけんや,自由民主党・無所属の会,衆,（比）東北
浅田眞澄美,あさだますみ,自由民主党・無所属の会,衆,（比）九州
東国幹,あずまくによし,自由民主党・無所属の会,衆,北海道6
畦元将吾,あぜもとしょうご,自由民主党・無所属の会,衆,東京6
麻生太郎,あそうたろう,自由民主党・無所属の会,衆,福岡8
あべ俊子,あべとしこ,自由民主党・無所属の会,衆,（比）中国
阿部弘樹,あべひろき,自由民主党・無所属の会,衆,（比）九州
安藤たかお,あんどうたかお,自由民主党・無所属の会,衆,東京28
五十嵐清,いがらしきよし,自由民主党・無所属の会,衆,栃木2
石井拓,いしいたく,自由民主党・無所属の会,衆,愛知13
石川昭政,いしかわあきまさ,自由民主党・無所属の会,衆,（比）北関東
石坂太,いしざかまさる,自由民主党・無所属の会,衆,栃木4
石田真敏,いしだまさとし,自由民主党・無所属の会,衆,（比）近畿
石破茂,いしばしげる,自由民主党・無所属の会,衆,鳥取1
石橋林太郎,いしばしりんたろう,自由民主党・無所属の会,衆,広島3
石原宏高,いしはらひろたか,自由民主党・無所属の会,衆,東京3
石原正敬,いしはらまさたか,自由民主党・無所属の会,衆,三重3
井出庸生,いでようせい,自由民主党・無所属の会,衆,長野3
伊藤聡,いとうさとし,自由民主党・無所属の会,衆,（比）南関東
伊藤信太郎,いとうしんたろう,自由民主党・無所属の会,衆,（比）東北
伊藤忠彦,いとうただひこ,自由民主党・無所属の会,衆,愛知8
伊藤達也,いとうたつや,自由民主党・無所属の会,衆,東京22
伊東良孝,いとうよしたか,自由民主党・無所属の会,衆,（比）北海道
稲田朋美,いなだともみ,自由民主党・無所属の会,衆,福井1
稲葉大輔,いなばだいすけ,自由民主党・無所属の会,衆,静岡8
井野俊郎,いのとしろう,自由民主党・無所属の会,衆,群馬2
井上信治,いのうえしんじ,自由民主党・無所属の会,衆,東京25
井上貴博,いのうえたかひろ,自由民主党・無所属の会,衆,福岡1
井林辰憲,いばやしたつのり,自由民主党・無所属の会,衆,静岡2
井原巧,いはらたくみ,自由民主党・無所属の会,衆,愛媛2
井原隆,いはらゆたか,自由民主党・無所属の会,衆,埼玉5
今枝宗一郎,いまえだそういちろう,自由民主党・無所属の会,衆,愛知14
今岡植,いまおかうえき,自由民主党・無所属の会,衆,東京26
岩崎比菜,いわさきひな,自由民主党・無所属の会,衆,（比）南関東
岩田和親,いわたかずちか,自由民主党・無所属の会,衆,佐賀1
岩屋毅,いわやたけし,自由民主党・無所属の会,衆,大分3
上杉謙太郎,うえすぎけんたろう,自由民主党・無所属の会,衆,福島3
上田英俊,うえだえいしゅん,自由民主党・無所属の会,衆,富山2
上野賢一郎,うえのけんいちろう,自由民主党・無所属の会,衆,滋賀2
上野宏史,うえのひろし,自由民主党・無所属の会,衆,（比）九州
上原正裕,うえはらまさひろ,自由民主党・無所属の会,衆,神奈川9
内山こう,うちやまこう,自由民主党・無所属の会,衆,新潟1
江渡聡徳,えとあきのり,自由民主党・無所属の会,衆,（比）東北
江藤拓,えとうたく,自由民主党・無所属の会,衆,（比）九州
衛藤博昭,えとうひろあき,自由民主党・無所属の会,衆,大分1
英利アルフィヤ,えりあるふぃや,自由民主党・無所属の会,衆,千葉5
遠藤寛明,えんどうひろあき,自由民主党・無所属の会,衆,山形1
大岡敏孝,おおおかとしたか,自由民主党・無所属の会,衆,滋賀1
大串正樹,おおぐしまさき,自由民主党・無所属の会,衆,兵庫6
大空幸星,おおぞらこうき,自由民主党・無所属の会,衆,東京15
大塚拓,おおつかたく,自由民主党・無所属の会,衆,埼玉9
大西洋平,おおにしようへい,自由民主党・無所属の会,衆,東京16
大野敬太郎,おおのけいたろう,自由民主党・無所属の会,衆,香川3
岡本康宏,おかもとやすひろ,自由民主党・無所属の会,衆,愛知5
尾崎正直,おざきまさなお,自由民主党・無所属の会,衆,高知2
長田紘一郎,おさだこういちろう,自由民主党・無所属の会,衆,（比）東海
小里泰弘,おざとやすひろ,自由民主党・無所属の会,衆,（比）九州
小田原潔,おだわらきよし,自由民主党・無所属の会,衆,東京21
鬼木誠,おにきまこと,自由民主党・無所属の会,衆,福岡2
小野寺五典,おのでらいつのり,自由民主党・無所属の会,衆,宮城5
尾花瑛仁,おばなあきひと,自由民主党・無所属の会,衆,埼玉6
小渕優子,おぶちゆうこ,自由民主党・無所属の会,衆,群馬5
尾身朝子,おみあさこ,自由民主党・無所属の会,衆,（比）北関東
鹿嶋祐介,かしまゆうすけ,自由民主党・無所属の会,衆,千葉4
梶山弘志,かじやまひろし,自由民主党・無所属の会,衆,茨城4
勝俣孝明,かつまたたかあき,自由民主党・無所属の会,衆,静岡6
勝目康,かつめやすし,自由民主党・無所属の会,衆,京都1
門寛子,かどひろこ,自由民主党・無所属の会,衆,東京8
加藤鮎子,かとうあゆこ,自由民主党・無所属の会,衆,山形3
加藤勝信,かとうかつのぶ,自由民主党・無所属の会,衆,岡山3
加藤貴弘,かとうたかひろ,自由民主党・無所属の会,衆,北海道1
加藤大博,かとうともひろ,自由民主党・無所属の会,衆,岐阜4
加藤竜祥,かとうりゅうしょう,自由民主党・無所属の会,衆,長崎2
門山宏哲,かどやまひろあき,自由民主党・無所属の会,衆,千葉1
金澤結衣,かなざわゆい,自由民主党・無所属の会,衆,神奈川20
金子恭之,かねこやすし,自由民主党・無所属の会,衆,熊本4
金子容三,かねこようぞう,自由民主党・無所属の会,衆,長崎3
上川陽子,かみかわようこ,自由民主党・無所属の会,衆,静岡1
川崎ひでと,かわさきひでと,自由民主党・無所属の会,衆,三重2
河野正美,かわのまさみ,自由民主党・無所属の会,衆,（比）九州
川松真一朗,かわまつしんいちろう,自由民主党・無所属の会,衆,東京23
菅家一郎,かんけいちろう,自由民主党・無所属の会,衆,（比）東北
神田潤一,かんだじゅんいち,自由民主党・無所属の会,衆,青森2
城内実,きうちみのる,自由民主党・無所属の会,衆,静岡7
黄川田仁志,きかわだひとし,自由民主党・無所属の会,衆,埼玉3
岸信千世,きしのぶちよ,自由民主党・無所属の会,衆,山口2
岸田文雄,きしだふみお,自由民主党・無所属の会,衆,広島1
北神圭朗,きたがみけいろう,自由民主党・無所属の会,衆,京都4
木原誠二,きはらせいじ,自由民主党・無所属の会,衆,東京20
木原稔,きはらみのる,自由民主党・無所属の会,衆,熊本1
木村次郎,きむらじろう,自由民主党・無所属の会,衆,青森3
草間剛,くさまつよし,自由民主党・無所属の会,衆,神奈川19
工藤彰三,くどうしょうぞう,自由民主党・無所属の会,衆,愛知4
国定勇人,くにさだいさと,自由民主党・無所属の会,衆,新潟2
国光あやの,くにみつあやの,自由民主党・無所属の会,衆,茨城6
熊田裕通,くまだひろみち,自由民主党・無所属の会,衆,（比）東海
栗原渉,くりはらわたる,自由民主党・無所属の会,衆,福岡5
黒崎祐一,くろさきゆういち,自由民主党・無所属の会,衆,東京27
小池正昭,こいけまさあき,自由民主党・無所属の会,衆,千葉10
小泉進次郎,こいずみしんじろう,自由民主党・無所属の会,衆,神奈川11
小泉龍司,こいずみりゅうじ,自由民主党・無所属の会,衆,埼玉11
河野太郎,こうのたろう,自由民主党・無所属の会,衆,神奈川15
高村正大,こうむらまさひろ,自由民主党・無所属の会,衆,山口1
こうらい啓一郎,こうらいけいいちろう,自由民主党・無所属の会,衆,（比）近畿
古賀篤,こがあつし,自由民主党・無所属の会,衆,福岡3
國場幸之助,こくばこうのすけ,自由民主党・無所属の会,衆,沖縄1
小寺裕雄,こてらひろお,自由民主党・無所属の会,衆,（比）近畿
後藤茂之,ごとうしげゆき,自由民主党・無所属の会,衆,長野4
