name,reading,party,chamber,district
小林茂樹,こばやししげき,自由民主党・無所属の会,衆,奈良1
小林鷹之,こばやしたかゆき,自由民主党・無所属の会,衆,千葉2
小林史明,こばやしふみあき,自由民主党・無所属の会,衆,広島6
小森卓郎,こもりたくお,自由民主党・無所属の会,衆,石川1
今洋佑,こんようすけ,自由民主党・無所属の会,衆,（比）北陸信越
斉木武志,さいきたけし,自由民主党・無所属の会,衆,福井2
西條昌良,さいじょうまさよし,自由民主党・無所属の会,衆,（比）北関東
齋藤健,さいとうけん,自由民主党・無所属の会,衆,千葉7
斎藤洋明,さいとうひろあき,自由民主党・無所属の会,衆,新潟3
斉藤りえ,さいとうりえ,自由民主党・無所属の会,衆,（比）東海
坂井学,さかいまなぶ,自由民主党・無所属の会,衆,神奈川5
坂本哲志,さかもとてつし,自由民主党・無所属の会,衆,熊本3
坂本竜太郎,さかもとりゅうたろう,自由民主党・無所属の会,衆,福島4
笹川博義,ささがわひろよし,自由民主党・無所属の会,衆,群馬3
佐々木紀,ささきはじめ,自由民主党・無所属の会,衆,石川2
佐藤主迪,さとうまさし,自由民主党・無所属の会,衆,神奈川16
塩崎彰久,しおざきあきひさ,自由民主党・無所属の会,衆,愛媛1
繁本護,しげもとまもる,自由民主党・無所属の会,衆,（比）近畿
柴山昌彦,しばやままさひこ,自由民主党・無所属の会,衆,埼玉8
島尻安伊子,しまじりあいこ,自由民主党・無所属の会,衆,沖縄3
島田智明,しまだともあき,自由民主党・無所属の会,衆,（比）近畿
下村博文,しもむらはくぶん,自由民主党・無所属の会,衆,東京11
白坂亜紀,しらさかあき,自由民主党・無所属の会,衆,（比）九州
新谷正義,しんたにまさよし,自由民主党・無所属の会,衆,広島4
新藤義孝,しんどうよしたか,自由民主党・無所属の会,衆,埼玉2
菅原一秀,すがわらいっしゅう,自由民主党・無所属の会,衆,東京9
鈴木英敬,すずきえいけい,自由民主党・無所属の会,衆,三重4
鈴木馨祐,すずきけいすけ,自由民主党・無所属の会,衆,神奈川7
鈴木俊一,すずきしゅんいち,自由民主党・無所属の会,衆,岩手2
鈴木淳司,すずきじゅんじ,自由民主党・無所属の会,衆,（比）東海
鈴木貴子,すずきたかこ,自由民主党・無所属の会,衆,北海道7
鈴木拓海,すずきたくみ,自由民主党・無所属の会,衆,（比）北関東
鈴木憲和,すずきのりかず,自由民主党・無所属の会,衆,山形2
鈴木隼人,すずきはやと,自由民主党・無所属の会,衆,東京10
関芳弘,せきよしひろ,自由民主党・無所属の会,衆,兵庫3
世古万美子,せこまみこ,自由民主党・無所属の会,衆,（比）東海
世耕弘成,せこうひろしげ,自由民主党・無所属の会,衆,和歌山2
瀬戸隆一,せとたかかず,自由民主党・無所属の会,衆,（比）四国
園崎弘道,そのさきひろみち,自由民主党・無所属の会,衆,京都6
平将明,たいらまさあき,自由民主党・無所属の会,衆,東京4
高市早苗,たかいちさなえ,自由民主党・無所属の会,衆,奈良2
高階恵美子,たかがいえみこ,自由民主党・無所属の会,衆,島根1
高木啓,たかぎけい,自由民主党・無所属の会,衆,東京12
高木宏壽,たかぎひろひさ,自由民主党・無所属の会,衆,北海道3
高鳥修一,たかとりしゅういち,自由民主党・無所属の会,衆,新潟5
高橋祐介,たかはしゆうすけ,自由民主党・無所属の会,衆,北海道2
高見康裕,たかみやすひろ,自由民主党・無所属の会,衆,島根2
武井俊輔,たけいしゅんすけ,自由民主党・無所属の会,衆,（比）九州
武田良太,たけだりょうた,自由民主党・無所属の会,衆,福岡11
武部新,たけべあらた,自由民主党・無所属の会,衆,北海道12
武村展英,たけむらのぶひで,自由民主党・無所属の会,衆,滋賀3
橘慶一郎,たちばなけいいちろう,自由民主党・無所属の会,衆,富山3
田所嘉徳,たどころよしのり,自由民主党・無所属の会,衆,茨城1
田中和徳,たなかかずのり,自由民主党・無所属の会,衆,神奈川10
田中昌史,たなかまさし,自由民主党・無所属の会,衆,（比）東京
田中良生,たなかりょうせい,自由民主党・無所属の会,衆,埼玉15
棚橋泰文,たなはしやすふみ,自由民主党・無所属の会,衆,岐阜2
谷公一,たにこういち,自由民主党・無所属の会,衆,兵庫5
谷川とむ,たにがわとむ,自由民主党・無所属の会,衆,大阪19
田野瀬太道,たのせたいどう,自由民主党・無所属の会,衆,奈良3
田畑裕明,たばたひろあき,自由民主党・無所属の会,衆,（比）北陸信越
田宮寿人,たみやひさと,自由民主党・無所属の会,衆,千葉9
田村憲久,たむらのりひさ,自由民主党・無所属の会,衆,三重1
俵田祐児,たわらだゆうじ,自由民主党・無所属の会,衆,（比）中国
辻清人,つじきよと,自由民主党・無所属の会,衆,東京2
辻秀樹,つじひでき,自由民主党・無所属の会,衆,（比）東海
辻由布子,つじゆうこ,自由民主党・無所属の会,衆,（比）東京
津島淳,つしまじゅん,自由民主党・無所属の会,衆,青森1
土田慎,つちだしん,自由民主党・無所属の会,衆,東京13
土屋品子,つちやしなこ,自由民主党・無所属の会,衆,埼玉16
寺田稔,てらだみのる,自由民主党・無所属の会,衆,（比）中国
土井亨,どいとおる,自由民主党・無所属の会,衆,宮城1
渡海紀三朗,とかいきさぶろう,自由民主党・無所属の会,衆,兵庫10
冨樫博之,とがしひろゆき,自由民主党・無所属の会,衆,秋田1
とかしきなおみ,とかしきなおみ,自由民主党・無所属の会,衆,（比）近畿
永岡桂子,ながおかけいこ,自由民主党・無所属の会,衆,（比）北関東
中川こういち,なかがわこういち,自由民主党・無所属の会,衆,北海道11
中川貴元,なかがわたかもと,自由民主党・無所属の会,衆,（比）東海
長坂康正,ながさかやすまさ,自由民主党・無所属の会,衆,愛知9
長澤興祐,ながさわこうすけ,自由民主党・無所属の会,衆,東京29
長島昭久,ながしまあきひさ,自由民主党・無所属の会,衆,東京30
中曽根康隆,なかそねやすたか,自由民主党・無所属の会,衆,群馬1
中田宏,なかだひろし,自由民主党・無所属の会,衆,富山1
永田磨梨奈,ながたまりな,自由民主党・無所属の会,衆,神奈川4
中谷元,なかたにげん,自由民主党・無所属の会,衆,高知1
中谷真一,なかたにしんいち,自由民主党・無所属の会,衆,山梨1
中西健治,なかにしけんじ,自由民主党・無所属の会,衆,神奈川3
中根一幸,なかねかずゆき,自由民主党・無所属の会,衆,（比）北関東
中野英幸,なかのひでゆき,自由民主党・無所属の会,衆,埼玉7
長野春信,ながのはるのぶ,自由民主党・無所属の会,衆,（比）南関東
中村裕之,なかむらひろゆき,自由民主党・無所属の会,衆,北海道4
中山展宏,なかやまのりひろ,自由民主党・無所属の会,衆,（比）四国
中山泰秀,なかやまやすひで,自由民主党・無所属の会,衆,（比）近畿
仁木博文,にきひろぶみ,自由民主党・無所属の会,衆,徳島1
西田昭二,にしだしょうじ,自由民主党・無所属の会,衆,石川3
西野太亮,にしのだいすけ,自由民主党・無所属の会,衆,熊本2
西村明宏,にしむらあきひろ,自由民主党・無所属の会,衆,宮城3
西村康稔,にしむらやすとし,自由民主党・無所属の会,衆,兵庫9
西銘恒三郎,にしめこうさぶろう,自由民主党・無所属の会,衆,沖縄4
西山尚利,にしやまなおとし,自由民主党・無所属の会,衆,福島1
新田章文,にったしょうぶん,自由民主党・無所属の会,衆,神奈川2
丹羽秀樹,にわひでき,自由民主党・無所属の会,衆,愛知6
額賀福志郎,ぬかがふくしろう,自由民主党・無所属の会,衆,茨城2
根本拓,ねもとたく,自由民主党・無所属の会,衆,福島2
根本幸典,ねもとゆきのり,自由民主党・無所属の会,衆,愛知15
野田聖子,のだせいこ,自由民主党・無所属の会,衆,岐阜1
野中厚,のなかあつし,自由民主党・無所属の会,衆,埼玉12
萩生田光一,はぎうだこういち,自由民主党・無所属の会,衆,東京24
橋本岳,はしもとがく,自由民主党・無所属の会,衆,岡山4
長谷川淳二,はせがわじゅんじ,自由民主党・無所属の会,衆,愛媛3
鳩山二郎,はとやまじろう,自由民主党・無所属の会,衆,福岡6
葉梨康弘,はなしやすひろ,自由民主党・無所属の会,衆,茨城3
浜田靖一,はまだやすかず,自由民主党・無所属の会,衆,千葉12
林芳正,はやしよしまさ,自由民主党・無所属の会,衆,山口3
東田淳平,ひがしだじゅんぺい,自由民主党・無所属の会,衆,（比）近畿
平井卓也,ひらいたくや,自由民主党・無所属の会,衆,（比）四国
平口洋,ひらぐちひろし,自由民主党・無所属の会,衆,広島2
平沢勝栄,ひらさわかつえい,自由民主党・無所属の会,衆,東京17
平沼正二郎,ひらぬましょうじろう,自由民主党・無所属の会,衆,（比）中国
広瀬建,ひろせけん,自由民主党・無所属の会,衆,大分2
深澤陽一,ふかざわよういち,自由民主党・無所属の会,衆,静岡4
福田かおる,ふくだかおる,自由民主党・無所属の会,衆,東京18
福田達夫,ふくだたつお,自由民主党・無所属の会,衆,群馬4
福原淳嗣,ふくはらじゅんじ,自由民主党・無所属の会,衆,秋田2
藤井比早之,ふじいひさゆき,自由民主党・無所属の会,衆,兵庫4
藤沢忠盛,ふじさわただもり,自由民主党・無所属の会,衆,（比）東海
藤田ひかる,ふじたひかる,自由民主党・無所属の会,衆,長野2
藤田誠,ふじたまこと,自由民主党・無所属の会,衆,埼玉14
藤田洋司,ふじたようじ,自由民主党・無所属の会,衆,（比）近畿
藤丸敏,ふじまるさとし,自由民主党・無所属の会,衆,福岡7
藤原崇,ふじわらたかし,自由民主党・無所属の会,衆,岩手3
文月涼,ふづきりょう,自由民主党・無所属の会,衆,（比）南関東
船田元,ふなだはじめ,自由民主党・無所属の会,衆,栃木1
古井康介,ふるいこうすけ,自由民主党・無所属の会,衆,（比）北陸信越
古川直季,ふるかわなおき,自由民主党・無所属の会,衆,神奈川6
古川康,ふるかわやすし,自由民主党・無所属の会,衆,佐賀2
古川禎久,ふるかわよしひさ,自由民主党・無所属の会,衆,宮崎3
古屋圭司,ふるやけいじ,自由民主党・無所属の会,衆,岐阜5
穂坂泰,ほさかやすし,自由民主党・無所属の会,衆,埼玉4
星野剛士,ほしのつよし,自由民主党・無所属の会,衆,神奈川12
細田健一,ほそだけんいち,自由民主党・無所属の会,衆,（比）東海
細野豪志,ほそのごうし,自由民主党・無所属の会,衆,静岡5
堀内詔子,ほりうちのりこ,自由民主党・無所属の会,衆,山梨2
本田太郎,ほんだたろう,自由民主党・無所属の会,衆,京都5
前川恵,まえかわめぐみ,自由民主党・無所属の会,衆,（比）北関東
牧島かれん,まきしまかれん,自由民主党・無所属の会,衆,神奈川17
松下英樹,まつしたひでき,自由民主党・無所属の会,衆,北海道9
松島みどり,まつしまみどり,自由民主党・無所属の会,衆,東京14
松野博一,まつのひろかず,自由民主党・無所属の会,衆,千葉3
松本泉,まつもといずみ,自由民主党・無所属の会,衆,千葉8
松本尚,まつもとひさし,自由民主党・無所属の会,衆,千葉13
松本洋平,まつもとようへい,自由民主党・無所属の会,衆,東京19
丸尾なつ子,まるおなつこ,自由民主党・無所属の会,衆,神奈川1
丸川珠代,まるかわたまよ,自由民主党・無所属の会,衆,東京7
丸田康一郎,まるたこういちろう,自由民主党・無所属の会,衆,神奈川13
水野よしひこ,みずのよしひこ,自由民主党・無所属の会,衆,愛知3
三反園訓,みたぞのさとし,自由民主党・無所属の会,衆,鹿児島2
三谷英弘,みたにひでひろ,自由民主党・無所属の会,衆,神奈川8
三ッ林裕巳,みつばやしひろみ,自由民主党・無所属の会,衆,埼玉13
御法川信英,みのりかわのぶひで,自由民主党・無所属の会,衆,（比）東北
三原朝利,みはらあさと,自由民主党・無所属の会,衆,（比）九州
宮内秀樹,みやうちひでき,自由民主党・無所属の会,衆,福岡4
宮崎政久,みやざきまさひさ,自由民主党・無所属の会,衆,沖縄2
宮路拓馬,みやじたくま,自由民主党・無所属の会,衆,鹿児島1
宮下一郎,みやしたいちろう,自由民主党・無所属の会,衆,長野5
向山淳,むこうやまじゅん,自由民主党・無所属の会,衆,北海道8
武藤容治,むとうようじ,自由民主党・無所属の会,衆,岐阜3
宗清皇一,むねきよこういち,自由民主党・無所属の会,衆,（比）近畿
村井英樹,むらいひでき,自由民主党・無所属の会,衆,埼玉1
村上誠一郎,むらかみせいいちろう,自由民主党・無所属の会,衆,（比）四国
村木汀,むらきなぎさ,自由民主党・無所属の会,衆,（比）北海道
茂木敏充,もてぎとしみつ,自由民主党・無所属の会,衆,栃木5
森下千里,もりしたちさと,自由民主党・無所属の会,衆,宮城4
森原紀代子,もりはらきよこ,自由民主党・無所属の会,衆,（比）東京
森山裕,もりやまひろし,自由民主党・無所属の会,衆,鹿児島4
盛山正仁,もりやままさひと,自由民主党・無所属の会,衆,兵庫1
保岡宏武,やすおかひろたけ,自由民主党・無所属の会,衆,（比）九州
簗和生,やなかずお,自由民主党・無所属の会,衆,（比）北関東
山際大志郎,やまぎわだいしろう,自由民主党・無所属の会,衆,神奈川18
山口俊一,やまぐちしゅんいち,自由民主党・無所属の会,衆,徳島2
山口晋,やまぐちすすむ,自由民主党・無所属の会,衆,埼玉10
山口壯,やまぐちつよし,自由民主党・無所属の会,衆,兵庫12
山下史守朗,やましたしずお,自由民主党・無所属の会,衆,愛知16
山下貴司,やましたたかし,自由民主党・無所属の会,衆,岡山2
山田賢司,やまだけんじ,自由民主党・無所属の会,衆,兵庫7
山田美樹,やまだみき,自由民主党・無所属の会,衆,東京1
山田基靖,やまだもとやす,自由民主党・無所属の会,衆,兵庫11
山本左近,やまもとさこん,自由民主党・無所属の会,衆,（比）東海
山本深,やまもとしん,自由民主党・無所属の会,衆,広島5
山本大地,やまもとだいち,自由民主党・無所属の会,衆,和歌山1
山本裕三,やまもとゆうぞう,自由民主党・無所属の会,衆,静岡3
吉田真次,よしだしんじ,自由民主党・無所属の会,衆,（比）中国
吉田有理,よしだゆうり,自由民主党・無所属の会,衆,（比）北海道
吉村悠,よしむらはるか,自由民主党・無所属の会,衆,福岡10
米内紘正,よないひろまさ,自由民主党・無所属の会,衆,（比）東北
若林健太,わかばやしけんた,自由民主党・無所属の会,衆,長野1
若宮健嗣,わかみやけんじ,自由民主党・無所属の会,衆,東京5
若山慎司,わかやましんじ,自由民主党・無所属の会,衆,愛知10
鷲尾英一郎,わしおえいいちろう,自由民主党・無所属の会,衆,新潟4
和田義明,わだよしあき,自由民主党・無所属の会,衆,北海道5
渡辺勝幸,わたなべかつゆき,自由民主党・無所属の会,衆,宮城2
渡辺孝一,わたなべこういち,自由民主党・無所属の会,衆,（比）北海道
渡辺博道,わたなべひろみち,自由民主党・無所属の会,衆,千葉6
赤羽一嘉,あかばかずよし,中道改革連合・無所属,衆,（比）近畿
有田芳生,ありたよしふ,中道改革連合・無所属,衆,（比）東北
伊佐進一,いさしんいち,中道改革連合・無所属,衆,（比）近畿
泉健太,いずみけんた,中道改革連合・無所属,衆,京都3
犬飼明佳,いぬかいあきよし,中道改革連合・無所属,衆,（比）東海
浮島智子,うきしまともこ,中道改革連合・無所属,衆,（比）北海道
大島敦,おおしまあつし,中道改革連合・無所属,衆,（比）北関東
大森江里子,おおもりえりこ,中道改革連合・無所属,衆,（比）東京
岡本三成,おかもとみつなり,中道改革連合・無所属,衆,（比）東京
小川淳也,おがわじゅんや,中道改革連合・無所属,衆,香川1
落合貴之,おちあいたかゆき,中道改革連合・無所属,衆,（比）東京
河西宏一,かさいこういち,中道改革連合・無所属,衆,（比）東京
金子恵美,かねこえみ,中道改革連合・無所属,衆,（比）東北
神谷裕,かみやひろし,中道改革連合・無所属,衆,北海道10
河野義博,かわのよしひろ,中道改革連合・無所属,衆,（比）九州
菊田真紀子,きくたまきこ,中道改革連合・無所属,衆,（比）北陸信越
金城泰邦,きんじょうやすくに,中道改革連合・無所属,衆,（比）九州
國重徹,くにしげとおる,中道改革連合・無所属,衆,（比）近畿
輿水恵一,こしみずけいいち,中道改革連合・無所属,衆,（比）北関東
後藤祐一,ごとうゆういち,中道改革連合・無所属,衆,（比）南関東
近藤和也,こんどうかずや,中道改革連合・無所属,衆,（比）北陸信越
斉藤鉄夫,さいとうてつお,中道改革連合・無所属,衆,（比）中国
佐藤英道,さとうひでみち,中道改革連合・無所属,衆,（比）北海道
重徳和彦,しげとくかずひこ,中道改革連合・無所属,衆,（比）東海
階猛,しなたけし,中道改革連合・無所属,衆,岩手1
庄子賢一,しょうじけんいち,中道改革連合・無所属,衆,（比）東北
田嶋要,たじまかなめ,中道改革連合・無所属,衆,（比）南関東
角田秀穂,つのだひでお,中道改革連合・無所属,衆,（比）南関東
中川宏昌,なかがわひろまさ,中道改革連合・無所属,衆,（比）北陸信越
中川康洋,なかがわやすひろ,中道改革連合・無所属,衆,（比）東海
長妻昭,ながつまあきら,中道改革連合・無所属,衆,（比）東京
中野洋昌,なかのひろまさ,中道改革連合・無所属,衆,（比）近畿
西園勝秀,にしぞのかつひで,中道改革連合・無所属,衆,（比）東海
西村智奈美,にしむらちなみ,中道改革連合・無所属,衆,（比）北陸信越
沼崎満子,ぬまざきみつこ,中道改革連合・無所属,衆,（比）南関東
野田佳彦,のだよしひこ,中道改革連合・無所属,衆,千葉14
野間健,のまたけし,中道改革連合・無所属,衆,鹿児島3
浜地雅一,はまちまさかず,中道改革連合・無所属,衆,（比）九州
原田直樹,はらだなおき,中道改革連合・無所属,衆,（比）南関東
平林晃,ひらばやしあきら,中道改革連合・無所属,衆,（比）中国
福重隆浩,ふくしげたかひろ,中道改革連合・無所属,衆,（比）北関東
山岡達丸,やまおかたつまる,中道改革連合・無所属,衆,（比）北海道
山崎正恭,やまさきまさやす,中道改革連合・無所属,衆,（比）四国
山本香苗,やまもとかなえ,中道改革連合・無所属,衆,（比）近畿
吉田宣弘,よしだのぶひろ,中道改革連合・無所属,衆,（比）九州
笠浩史,りゅうひろふみ,中道改革連合・無所属,衆,（比）南関東
早稲田ゆき,わせだゆき,中道改革連合・無所属,衆,（比）南関東
渡辺創,わたなべそう,中道改革連合・無所属,衆,宮崎1
青柳仁士,あおやぎひとし,日本維新の会,衆,大阪14
東徹,あずまとおる,日本維新の会,衆,大阪3
阿部圭史,あべけいし,日本維新の会,衆,兵庫2
阿部司,あべつかさ,日本維新の会,衆,（比）東京
池下卓,いけしたたく,日本維新の会,衆,大阪10
池畑浩太朗,いけはたこうたろう,日本維新の会,衆,（比）近畿
一谷勇一郎,いちたにゆういちろう,日本維新の会,衆,（比）近畿
市村浩一郎,いちむらこういちろう,日本維新の会,衆,（比）近畿
伊東信久,いとうのぶひさ,日本維新の会,衆,（比）近畿
井上英孝,いのうえひでたか,日本維新の会,衆,大阪1
岩谷良平,いわたにりょうへい,日本維新の会,衆,大阪13
梅村聡,うめむらさとし,日本維新の会,衆,大阪5
浦野靖人,うらのやすと,日本維新の会,衆,大阪15
うるま譲司,うるまじょうじ,日本維新の会,衆,大阪8
遠藤敬,えんどうたかし,日本維新の会,衆,大阪18
奥下剛光,おくしたたけみつ,日本維新の会,衆,大阪7
柏倉祐司,かしわくらゆうじ,日本維新の会,衆,（比）北関東
金村龍那,かねむらりゅうな,日本維新の会,衆,（比）南関東
喜多義典,きたよしのり,日本維新の会,衆,（比）中国
黒田征樹,くろだまさき,日本維新の会,衆,大阪16
斎藤アレックス,さいとうあれっくす,日本維新の会,衆,（比）近畿
住吉寛紀,すみよしひろき,日本維新の会,衆,（比）近畿
関健一郎,せきけんいちろう,日本維新の会,衆,（比）東海
高見亮,たかみりょう,日本維新の会,衆,大阪2
中司宏,なかつかひろし,日本維新の会,衆,大阪11
西田薫,にしだかおる,日本維新の会,衆,大阪6
萩原佳,はぎはらけい,日本維新の会,衆,大阪9
馬場伸幸,ばばのぶゆき,日本維新の会,衆,大阪17
原山大亮,はらやまだいすけ,日本維新の会,衆,（比）近畿
藤田文武,ふじたふみたけ,日本維新の会,衆,大阪12
前原誠司,まえはらせいじ,日本維新の会,衆,京都2
三木圭恵,みきけえ,日本維新の会,衆,（比）近畿
美延映夫,みのべてるお,日本維新の会,衆,大阪4
村上智信,むらかみとものぶ,日本維新の会,衆,（比）九州
